,file_name,variable_name,axis,domain,sample_size,rotation_hz,label,sample_rate
0,188.mat,X188_DE_time,DE,time,122136,28.83333333333333,7,12000
1,188.mat,X188_FE_time,FE,time,122136,28.83333333333333,7,12000
2,188.mat,X188_BA_time,BA,time,122136,28.83333333333333,7,12000
3,222.mat,X222_DE_time,DE,time,121991,29.95,7,12000
4,222.mat,X222_FE_time,FE,time,121991,29.95,7,12000
5,222.mat,X222_BA_time,BA,time,121991,29.95,7,12000
6,276.mat,X276_DE_time,DE,time,121351,29.16666666666667,4,12000
7,276.mat,X276_FE_time,FE,time,121351,29.16666666666667,4,12000
8,276.mat,X276_BA_time,BA,time,121351,29.16666666666667,4,12000
9,100.mat,X100_DE_time,DE,time,485643,28.83333333333333,0,12000
10,100.mat,X100_FE_time,FE,time,485643,28.83333333333333,0,12000
11,105.mat,X105_DE_time,DE,time,121265,29.95,4,12000
12,105.mat,X105_FE_time,FE,time,121265,29.95,4,12000
13,105.mat,X105_BA_time,BA,time,121265,29.95,4,12000
14,106.mat,X106_DE_time,DE,time,121991,29.53333333333333,4,12000
15,106.mat,X106_FE_time,FE,time,121991,29.53333333333333,4,12000
16,106.mat,X106_BA_time,BA,time,121991,29.53333333333333,4,12000
17,107.mat,X107_DE_time,DE,time,122136,29.16666666666667,4,12000
18,107.mat,X107_FE_time,FE,time,122136,29.16666666666667,4,12000
19,107.mat,X107_BA_time,BA,time,122136,29.16666666666667,4,12000
20,108.mat,X108_DE_time,DE,time,122917,28.83333333333333,4,12000
21,108.mat,X108_FE_time,FE,time,122917,28.83333333333333,4,12000
22,108.mat,X108_BA_time,BA,time,122917,28.83333333333333,4,12000
23,109.mat,X109_DE_time,DE,time,243938,29.95,4,48000
24,109.mat,X109_FE_time,FE,time,243938,29.95,4,48000
25,110.mat,X110_DE_time,DE,time,486224,29.53333333333333,4,48000
26,110.mat,X110_FE_time,FE,time,486224,29.53333333333333,4,48000
27,111.mat,X111_DE_time,DE,time,485643,29.16666666666667,4,48000
28,111.mat,X111_FE_time,FE,time,485643,29.16666666666667,4,48000
29,112.mat,X112_DE_time,DE,time,485643,28.83333333333333,4,48000
30,112.mat,X112_FE_time,FE,time,485643,28.83333333333333,4,48000
31,118.mat,X118_DE_time,DE,time,122571,29.95,7,12000
32,118.mat,X118_FE_time,FE,time,122571,29.95,7,12000
33,118.mat,X118_BA_time,BA,time,122571,29.95,7,12000
34,119.mat,X119_DE_time,DE,time,121410,29.53333333333333,7,12000
35,119.mat,X119_FE_time,FE,time,121410,29.53333333333333,7,12000
36,119.mat,X119_BA_time,BA,time,121410,29.53333333333333,7,12000
37,120.mat,X120_DE_time,DE,time,121556,29.16666666666667,7,12000
38,120.mat,X120_FE_time,FE,time,121556,29.16666666666667,7,12000
39,120.mat,X120_BA_time,BA,time,121556,29.16666666666667,7,12000
40,121.mat,X121_DE_time,DE,time,121556,28.83333333333333,7,12000
41,121.mat,X121_FE_time,FE,time,121556,28.83333333333333,7,12000
42,121.mat,X121_BA_time,BA,time,121556,28.83333333333333,7,12000
43,122.mat,X122_DE_time,DE,time,244739,29.95,7,48000
44,122.mat,X122_FE_time,FE,time,244739,29.95,7,48000
45,123.mat,X123_DE_time,DE,time,487384,29.53333333333333,7,48000
46,123.mat,X123_FE_time,FE,time,487384,29.53333333333333,7,48000
47,124.mat,X124_DE_time,DE,time,486804,29.16666666666667,7,48000
48,124.mat,X124_FE_time,FE,time,486804,29.16666666666667,7,48000
49,125.mat,X125_DE_time,DE,time,488545,28.83333333333333,7,48000
50,125.mat,X125_FE_time,FE,time,488545,28.83333333333333,7,48000
51,130.mat,X130_DE_time,DE,time,121991,29.95,2,12000
52,130.mat,X130_FE_time,FE,time,121991,29.95,2,12000
53,130.mat,X130_BA_time,BA,time,121991,29.95,2,12000
54,131.mat,X131_DE_time,DE,time,122426,29.53333333333333,2,12000
55,131.mat,X131_FE_time,FE,time,122426,29.53333333333333,2,12000
56,131.mat,X131_BA_time,BA,time,122426,29.53333333333333,2,12000
57,132.mat,X132_DE_time,DE,time,121410,29.16666666666667,2,12000
58,132.mat,X132_FE_time,FE,time,121410,29.16666666666667,2,12000
59,132.mat,X132_BA_time,BA,time,121410,29.16666666666667,2,12000
60,133.mat,X133_DE_time,DE,time,122571,28.83333333333333,2,12000
61,133.mat,X133_FE_time,FE,time,122571,28.83333333333333,2,12000
62,133.mat,X133_BA_time,BA,time,122571,28.83333333333333,2,12000
63,135.mat,X135_DE_time,DE,time,243538,29.95,2,48000
64,135.mat,X135_FE_time,FE,time,243538,29.95,2,48000
65,136.mat,X136_DE_time,DE,time,486804,29.53333333333333,2,48000
66,136.mat,X136_FE_time,FE,time,486804,29.53333333333333,2,48000
67,137.mat,X137_DE_time,DE,time,486804,29.16666666666667,2,48000
68,137.mat,X137_FE_time,FE,time,486804,29.16666666666667,2,48000
69,138.mat,X138_DE_time,DE,time,487964,28.83333333333333,2,48000
70,138.mat,X138_FE_time,FE,time,487964,28.83333333333333,2,48000
71,169.mat,X169_DE_time,DE,time,121846,29.95,4,12000
72,169.mat,X169_FE_time,FE,time,121846,29.95,4,12000
73,169.mat,X169_BA_time,BA,time,121846,29.95,4,12000
74,170.mat,X170_DE_time,DE,time,121846,29.53333333333333,4,12000
75,170.mat,X170_FE_time,FE,time,121846,29.53333333333333,4,12000
76,170.mat,X170_BA_time,BA,time,121846,29.53333333333333,4,12000
77,171.mat,X171_DE_time,DE,time,121846,29.16666666666667,4,12000
78,171.mat,X171_FE_time,FE,time,121846,29.16666666666667,4,12000
79,171.mat,X171_BA_time,BA,time,121846,29.16666666666667,4,12000
80,172.mat,X172_DE_time,DE,time,121701,28.83333333333333,4,12000
81,172.mat,X172_FE_time,FE,time,121701,28.83333333333333,4,12000
82,172.mat,X172_BA_time,BA,time,121701,28.83333333333333,4,12000
83,175.mat,X175_DE_time,DE,time,381890,29.53333333333333,4,48000
84,175.mat,X175_FE_time,FE,time,381890,29.53333333333333,4,48000
85,176.mat,X176_DE_time,DE,time,487964,29.16666666666667,4,48000
86,176.mat,X176_FE_time,FE,time,487964,29.16666666666667,4,48000
87,177.mat,X177_DE_time,DE,time,485063,28.83333333333333,4,48000
88,177.mat,X177_FE_time,FE,time,485063,28.83333333333333,4,48000
89,185.mat,X185_DE_time,DE,time,121846,29.95,7,12000
90,185.mat,X185_FE_time,FE,time,121846,29.95,7,12000
91,185.mat,X185_BA_time,BA,time,121846,29.95,7,12000
92,186.mat,X186_DE_time,DE,time,122136,29.53333333333333,7,12000
93,186.mat,X186_FE_time,FE,time,122136,29.53333333333333,7,12000
94,186.mat,X186_BA_time,BA,time,122136,29.53333333333333,7,12000
95,187.mat,X187_DE_time,DE,time,121991,29.16666666666667,7,12000
96,187.mat,X187_FE_time,FE,time,121991,29.16666666666667,7,12000
97,187.mat,X187_BA_time,BA,time,121991,29.16666666666667,7,12000
98,189.mat,X189_DE_time,DE,time,249146,29.95,7,48000
99,189.mat,X189_FE_time,FE,time,249146,29.95,7,48000
100,190.mat,X190_DE_time,DE,time,486224,29.53333333333333,7,48000
101,190.mat,X190_FE_time,FE,time,486224,29.53333333333333,7,48000
102,191.mat,X191_DE_time,DE,time,487384,29.16666666666667,7,48000
103,191.mat,X191_FE_time,FE,time,487384,29.16666666666667,7,48000
104,192.mat,X192_DE_time,DE,time,486804,28.83333333333333,7,48000
105,192.mat,X192_FE_time,FE,time,486804,28.83333333333333,7,48000
106,197.mat,X197_DE_time,DE,time,121846,29.95,2,12000
107,197.mat,X197_FE_time,FE,time,121846,29.95,2,12000
108,197.mat,X197_BA_time,BA,time,121846,29.95,2,12000
109,198.mat,X198_DE_time,DE,time,122136,29.53333333333333,2,12000
110,198.mat,X198_FE_time,FE,time,122136,29.53333333333333,2,12000
111,198.mat,X198_BA_time,BA,time,122136,29.53333333333333,2,12000
112,199.mat,X199_DE_time,DE,time,121846,29.16666666666667,2,12000
113,199.mat,X199_FE_time,FE,time,121846,29.16666666666667,2,12000
114,199.mat,X199_BA_time,BA,time,121846,29.16666666666667,2,12000
115,200.mat,X200_DE_time,DE,time,121991,28.83333333333333,2,12000
116,200.mat,X200_FE_time,FE,time,121991,28.83333333333333,2,12000
117,200.mat,X200_BA_time,BA,time,121991,28.83333333333333,2,12000
118,201.mat,X201_DE_time,DE,time,245140,29.95,2,48000
119,201.mat,X201_FE_time,FE,time,245140,29.95,2,48000
120,202.mat,X202_DE_time,DE,time,484483,29.53333333333333,2,48000
121,202.mat,X202_FE_time,FE,time,484483,29.53333333333333,2,48000
122,203.mat,X203_DE_time,DE,time,486804,29.16666666666667,2,48000
123,203.mat,X203_FE_time,FE,time,486804,29.16666666666667,2,48000
124,204.mat,X204_DE_time,DE,time,488545,28.83333333333333,2,48000
125,204.mat,X204_FE_time,FE,time,488545,28.83333333333333,2,48000
126,209.mat,X209_DE_time,DE,time,122136,29.95,4,12000
127,209.mat,X209_FE_time,FE,time,122136,29.95,4,12000
128,209.mat,X209_BA_time,BA,time,122136,29.95,4,12000
129,210.mat,X210_DE_time,DE,time,121556,29.53333333333333,4,12000
130,210.mat,X210_FE_time,FE,time,121556,29.53333333333333,4,12000
131,210.mat,X210_BA_time,BA,time,121556,29.53333333333333,4,12000
132,211.mat,X211_DE_time,DE,time,121846,29.16666666666667,4,12000
133,211.mat,X211_FE_time,FE,time,121846,29.16666666666667,4,12000
134,211.mat,X211_BA_time,BA,time,121846,29.16666666666667,4,12000
135,212.mat,X212_DE_time,DE,time,121991,28.83333333333333,4,12000
136,212.mat,X212_FE_time,FE,time,121991,28.83333333333333,4,12000
137,212.mat,X212_BA_time,BA,time,121991,28.83333333333333,4,12000
138,213.mat,X213_DE_time,DE,time,244339,29.95,4,48000
139,213.mat,X213_FE_time,FE,time,244339,29.95,4,48000
140,214.mat,X214_DE_time,DE,time,485063,29.53333333333333,4,48000
141,214.mat,X214_FE_time,FE,time,485063,29.53333333333333,4,48000
142,215.mat,X215_DE_time,DE,time,491446,29.16666666666667,4,48000
143,215.mat,X215_FE_time,FE,time,491446,29.16666666666667,4,48000
144,217.mat,X217_DE_time,DE,time,489125,28.83333333333333,4,48000
145,217.mat,X217_FE_time,FE,time,489125,28.83333333333333,4,48000
146,277.mat,X277_DE_time,DE,time,121168,28.83333333333333,4,12000
147,277.mat,X277_FE_time,FE,time,121168,28.83333333333333,4,12000
148,277.mat,X277_BA_time,BA,time,121168,28.83333333333333,4,12000
149,278.mat,X278_DE_time,DE,time,121535,29.95,4,12000
150,278.mat,X278_FE_time,FE,time,121535,29.95,4,12000
151,278.mat,X278_BA_time,BA,time,121535,29.95,4,12000
152,279.mat,X279_DE_time,DE,time,121351,29.53333333333333,4,12000
153,279.mat,X279_FE_time,FE,time,121351,29.53333333333333,4,12000
154,279.mat,X279_BA_time,BA,time,121351,29.53333333333333,4,12000
155,280.mat,X280_DE_time,DE,time,121351,29.16666666666667,4,12000
156,280.mat,X280_FE_time,FE,time,121351,29.16666666666667,4,12000
157,280.mat,X280_BA_time,BA,time,121351,29.16666666666667,4,12000
158,281.mat,X281_DE_time,DE,time,121535,28.83333333333333,4,12000
159,281.mat,X281_FE_time,FE,time,121535,28.83333333333333,4,12000
160,281.mat,X281_BA_time,BA,time,121535,28.83333333333333,4,12000
161,282.mat,X282_DE_time,DE,time,121168,29.95,7,12000
162,282.mat,X282_FE_time,FE,time,121168,29.95,7,12000
163,282.mat,X282_BA_time,BA,time,121168,29.95,7,12000
164,283.mat,X283_DE_time,DE,time,120801,29.53333333333333,7,12000
165,283.mat,X283_FE_time,FE,time,120801,29.53333333333333,7,12000
166,283.mat,X283_BA_time,BA,time,120801,29.53333333333333,7,12000
167,284.mat,X284_DE_time,DE,time,121719,29.16666666666667,7,12000
168,284.mat,X284_FE_time,FE,time,121719,29.16666666666667,7,12000
169,284.mat,X284_BA_time,BA,time,121719,29.16666666666667,7,12000
170,285.mat,X285_DE_time,DE,time,121168,28.83333333333333,7,12000
171,285.mat,X285_FE_time,FE,time,121168,28.83333333333333,7,12000
172,285.mat,X285_BA_time,BA,time,121168,28.83333333333333,7,12000
173,286.mat,X286_DE_time,DE,time,122086,29.95,7,12000
174,286.mat,X286_FE_time,FE,time,122086,29.95,7,12000
175,286.mat,X286_BA_time,BA,time,122086,29.95,7,12000
176,287.mat,X287_DE_time,DE,time,121719,29.53333333333333,7,12000
177,287.mat,X287_FE_time,FE,time,121719,29.53333333333333,7,12000
178,287.mat,X287_BA_time,BA,time,121719,29.53333333333333,7,12000
179,288.mat,X288_DE_time,DE,time,122269,29.16666666666667,7,12000
180,288.mat,X288_FE_time,FE,time,122269,29.16666666666667,7,12000
181,288.mat,X288_BA_time,BA,time,122269,29.16666666666667,7,12000
182,289.mat,X289_DE_time,DE,time,121168,28.83333333333333,7,12000
183,289.mat,X289_FE_time,FE,time,121168,28.83333333333333,7,12000
184,289.mat,X289_BA_time,BA,time,121168,28.83333333333333,7,12000
185,290.mat,X290_DE_time,DE,time,121351,29.95,7,12000
186,290.mat,X290_FE_time,FE,time,121351,29.95,7,12000
187,290.mat,X290_BA_time,BA,time,121351,29.95,7,12000
188,291.mat,X291_DE_time,DE,time,121351,29.53333333333333,7,12000
189,291.mat,X291_FE_time,FE,time,121351,29.53333333333333,7,12000
190,291.mat,X291_BA_time,BA,time,121351,29.53333333333333,7,12000
191,292.mat,X292_DE_time,DE,time,121535,29.16666666666667,7,12000
192,292.mat,X292_FE_time,FE,time,121535,29.16666666666667,7,12000
193,292.mat,X292_BA_time,BA,time,121535,29.16666666666667,7,12000
194,293.mat,X293_DE_time,DE,time,120801,28.83333333333333,7,12000
195,293.mat,X293_FE_time,FE,time,120801,28.83333333333333,7,12000
196,293.mat,X293_BA_time,BA,time,120801,28.83333333333333,7,12000
197,294.mat,X294_DE_time,DE,time,121168,29.95,2,12000
198,294.mat,X294_FE_time,FE,time,121168,29.95,2,12000
199,294.mat,X294_BA_time,BA,time,121168,29.95,2,12000
200,295.mat,X295_DE_time,DE,time,121535,29.53333333333333,2,12000
201,295.mat,X295_FE_time,FE,time,121535,29.53333333333333,2,12000
202,295.mat,X295_BA_time,BA,time,121535,29.53333333333333,2,12000
203,296.mat,X296_DE_time,DE,time,121168,29.16666666666667,2,12000
204,296.mat,X296_FE_time,FE,time,121168,29.16666666666667,2,12000
205,296.mat,X296_BA_time,BA,time,121168,29.16666666666667,2,12000
206,297.mat,X297_DE_time,DE,time,121902,28.83333333333333,2,12000
207,297.mat,X297_FE_time,FE,time,121902,28.83333333333333,2,12000
208,297.mat,X297_BA_time,BA,time,121902,28.83333333333333,2,12000
209,309.mat,X309_DE_time,DE,time,121168,29.53333333333333,2,12000
210,309.mat,X309_FE_time,FE,time,121168,29.53333333333333,2,12000
211,309.mat,X309_BA_time,BA,time,121168,29.53333333333333,2,12000
212,310.mat,X310_DE_time,DE,time,121535,29.95,2,12000
213,310.mat,X310_FE_time,FE,time,121535,29.95,2,12000
214,310.mat,X310_BA_time,BA,time,121535,29.95,2,12000
215,311.mat,X311_DE_time,DE,time,120984,29.16666666666667,2,12000
216,311.mat,X311_FE_time,FE,time,120984,29.16666666666667,2,12000
217,311.mat,X311_BA_time,BA,time,120984,29.16666666666667,2,12000
218,312.mat,X312_DE_time,DE,time,120984,28.83333333333333,2,12000
219,312.mat,X312_FE_time,FE,time,120984,28.83333333333333,2,12000
220,312.mat,X312_BA_time,BA,time,120984,28.83333333333333,2,12000
221,315.mat,X315_DE_time,DE,time,120617,29.95,2,12000
222,315.mat,X315_FE_time,FE,time,120617,29.95,2,12000
223,315.mat,X315_BA_time,BA,time,120617,29.95,2,12000
224,316.mat,X316_DE_time,DE,time,120617,29.53333333333333,2,12000
225,316.mat,X316_FE_time,FE,time,120617,29.53333333333333,2,12000
226,316.mat,X316_BA_time,BA,time,120617,29.53333333333333,2,12000
227,317.mat,X317_DE_time,DE,time,120617,29.16666666666667,2,12000
228,317.mat,X317_FE_time,FE,time,120617,29.16666666666667,2,12000
229,317.mat,X317_BA_time,BA,time,120617,29.16666666666667,2,12000
230,318.mat,X318_DE_time,DE,time,121351,28.83333333333333,2,12000
231,318.mat,X318_FE_time,FE,time,121351,28.83333333333333,2,12000
232,318.mat,X318_BA_time,BA,time,121351,28.83333333333333,2,12000
233,97.mat,X097_DE_time,DE,time,243938,29.95,0,12000
234,97.mat,X097_FE_time,FE,time,243938,29.95,0,12000
235,98.mat,X098_DE_time,DE,time,483903,29.53333333333333,0,12000
236,98.mat,X098_FE_time,FE,time,483903,29.53333333333333,0,12000
237,99.mat,X099_DE_time,DE,time,485063,29.16666666666667,0,12000
238,99.mat,X099_FE_time,FE,time,485063,29.16666666666667,0,12000
239,223.mat,X223_DE_time,DE,time,121701,29.53333333333333,7,12000
240,223.mat,X223_FE_time,FE,time,121701,29.53333333333333,7,12000
241,223.mat,X223_BA_time,BA,time,121701,29.53333333333333,7,12000
242,224.mat,X224_DE_time,DE,time,122136,29.16666666666667,7,12000
243,224.mat,X224_FE_time,FE,time,122136,29.16666666666667,7,12000
244,224.mat,X224_BA_time,BA,time,122136,29.16666666666667,7,12000
245,225.mat,X225_DE_time,DE,time,122136,28.83333333333333,7,12000
246,225.mat,X225_FE_time,FE,time,122136,28.83333333333333,7,12000
247,225.mat,X225_BA_time,BA,time,122136,28.83333333333333,7,12000
248,234.mat,X234_DE_time,DE,time,122426,29.95,2,12000
249,234.mat,X234_FE_time,FE,time,122426,29.95,2,12000
250,234.mat,X234_BA_time,BA,time,122426,29.95,2,12000
251,235.mat,X235_DE_time,DE,time,121991,29.53333333333333,2,12000
252,235.mat,X235_FE_time,FE,time,121991,29.53333333333333,2,12000
253,235.mat,X235_BA_time,BA,time,121991,29.53333333333333,2,12000
254,236.mat,X236_DE_time,DE,time,122281,29.16666666666667,2,12000
255,236.mat,X236_FE_time,FE,time,122281,29.16666666666667,2,12000
256,236.mat,X236_BA_time,BA,time,122281,29.16666666666667,2,12000
257,237.mat,X237_DE_time,DE,time,121991,28.83333333333333,2,12000
258,237.mat,X237_FE_time,FE,time,121991,28.83333333333333,2,12000
259,237.mat,X237_BA_time,BA,time,121991,28.83333333333333,2,12000
260,250.mat,X250_DE_time,DE,time,128663,29.95,7,48000
261,250.mat,X250_FE_time,FE,time,128663,29.95,7,48000
262,251.mat,X251_DE_time,DE,time,489705,29.53333333333333,7,48000
263,251.mat,X251_FE_time,FE,time,489705,29.53333333333333,7,48000
264,252.mat,X252_DE_time,DE,time,487384,29.16666666666667,7,48000
265,252.mat,X252_FE_time,FE,time,487384,29.16666666666667,7,48000
266,253.mat,X253_DE_time,DE,time,484483,28.83333333333333,7,48000
267,253.mat,X253_FE_time,FE,time,484483,28.83333333333333,7,48000
268,262.mat,X262_DE_time,DE,time,130549,29.95,2,48000
269,262.mat,X262_FE_time,FE,time,130549,29.95,2,48000
270,263.mat,X263_DE_time,DE,time,486224,29.53333333333333,2,48000
271,263.mat,X263_FE_time,FE,time,486224,29.53333333333333,2,48000
272,264.mat,X264_DE_time,DE,time,486804,29.16666666666667,2,48000
273,264.mat,X264_FE_time,FE,time,486804,29.16666666666667,2,48000
274,265.mat,X265_DE_time,DE,time,486224,28.83333333333333,2,48000
275,265.mat,X265_FE_time,FE,time,486224,28.83333333333333,2,48000
276,270.mat,X270_DE_time,DE,time,121168,29.95,4,12000
277,270.mat,X270_FE_time,FE,time,121168,29.95,4,12000
278,270.mat,X270_BA_time,BA,time,121168,29.95,4,12000
279,271.mat,X271_DE_time,DE,time,121168,29.53333333333333,4,12000
280,271.mat,X271_FE_time,FE,time,121168,29.53333333333333,4,12000
281,271.mat,X271_BA_time,BA,time,121168,29.53333333333333,4,12000
282,272.mat,X272_DE_time,DE,time,120984,29.16666666666667,4,12000
283,272.mat,X272_FE_time,FE,time,120984,29.16666666666667,4,12000
284,272.mat,X272_BA_time,BA,time,120984,29.16666666666667,4,12000
285,273.mat,X273_DE_time,DE,time,121168,28.83333333333333,4,12000
286,273.mat,X273_FE_time,FE,time,121168,28.83333333333333,4,12000
287,273.mat,X273_BA_time,BA,time,121168,28.83333333333333,4,12000
288,274.mat,X274_DE_time,DE,time,121351,29.95,4,12000
289,274.mat,X274_FE_time,FE,time,121351,29.95,4,12000
290,274.mat,X274_BA_time,BA,time,121351,29.95,4,12000
291,275.mat,X275_DE_time,DE,time,121351,29.53333333333333,4,12000
292,275.mat,X275_FE_time,FE,time,121351,29.53333333333333,4,12000
293,275.mat,X275_BA_time,BA,time,121351,29.53333333333333,4,12000
